INFO  22:08:54,776 | james.mailprocessor | Matcher All instantiated.
INFO  22:08:54,791 | james.mailprocessor | Mailet MetricsMailet instantiated.
INFO  22:08:54,791 | james.mailprocessor | Matcher All instantiated.
INFO  22:08:54,838 | james.mailprocessor | Mailet Bounce instantiated.
INFO  22:08:54,838 | james.mailprocessor | Matcher All instantiated.
INFO  22:08:54,838 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  22:08:54,838 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\over-quota-error
INFO  22:08:54,838 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  22:08:54,838 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\over-quota-error
INFO  22:08:54,838 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  22:08:54,838 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\over-quota-error
INFO  22:08:54,838 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  22:08:54,838 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\over-quota-error
INFO  22:08:54,838 | james.mailrepositorystore | added repository: file://var/mail/over-quota-error/->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:08:54,838 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  22:08:54,963 | james.mailprocessor | Matcher All instantiated.
INFO  22:08:54,963 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  22:08:54,963 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\spam
INFO  22:08:54,963 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  22:08:54,963 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\spam
INFO  22:08:54,963 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  22:08:54,963 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\spam
INFO  22:08:54,963 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  22:08:54,963 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\spam
INFO  22:08:54,963 | james.mailrepositorystore | added repository: file://var/mail/spam/->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:08:54,979 | james.mailprocessor | Mailet ToRepository instantiated.
